0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('afadbaskanlik', 183)","('mahallesi', 169)","('aci̇l', 145)","('ne', 138)","('ahbap', 133)","('acil', 130)","('arkadaşlar', 127)","('olan', 119)","('kadar', 112)","('allah', 110)","('babalatv', 110)","('haber', 110)","('da', 110)","('ama', 107)","('hala', 106)","('caddesi', 103)","('depremdairesi', 102)","('kahramanmaraş', 102)","('edin', 100)","('insanlar', 97)","('apartmanı', 92)","('sokak', 89)","('yayalim', 89)","('mah', 86)","('yayalım', 85)"
"('mahallesi', 82)","('s', 72)","('afadbaskanlik', 54)","('acil', 50)","('allah', 49)","('daha', 46)","('hala', 46)","('ne', 45)","('arkadaşlar', 43)","('ahbap', 43)","('kadar', 41)","('olan', 41)","('edin', 41)","('aci̇l', 39)","('da', 39)","('ama', 37)","('babalatv', 37)","('insan', 34)","('caddesi', 34)","('kahramanmaraş', 33)","('ya', 32)","('insanlar', 32)","('sokak', 31)","('48', 31)","('yayalım', 31)"
"('allah', 34)","('ne', 27)","('afadbaskanlik', 26)","('de', 25)","('da', 25)","('mahallesi', 23)","('hala', 23)","('s', 20)","('kadar', 20)","('daha', 19)","('acil', 17)","('kahramanmaraş', 17)","('insanlar', 17)","('olan', 16)","('soğuk', 15)","('ahbap', 14)","('caddesi', 14)","('öldü', 14)","('varsa', 13)","('gelen', 13)","('ya', 12)","('1', 12)","('vinç', 12)","('sokak', 12)","('tüm', 12)"
"('ne', 63)","('hala', 51)","('allah', 51)","('mahallesi', 48)","('de', 46)","('da', 46)","('ama', 41)","('daha', 37)","('edin', 37)","('olan', 34)","('kadar', 33)","('ahbap', 33)","('insanlar', 33)","('artık', 32)","('kurtarma', 29)","('mi', 29)","('acil', 28)","('mı', 28)","('ya', 27)","('afadbaskanlik', 26)","('2', 26)","('allahım', 26)","('sen', 26)","('sokak', 26)","('hiç', 25)"
"('ne', 118)","('mahallesi', 112)","('afadbaskanlik', 111)","('da', 96)","('ahbap', 95)","('hala', 88)","('acil', 87)","('edin', 86)","('de', 84)","('allah', 82)","('olan', 80)","('kadar', 76)","('arkadaşlar', 73)","('insanlar', 72)","('daha', 69)","('haber', 67)","('en', 66)","('insan', 63)","('s', 63)","('ama', 61)","('babalatv', 60)","('destek', 56)","('3', 56)","('aci̇l', 55)","('büyük', 55)"
"('afadbaskanlik', 237)","('mahallesi', 201)","('acil', 194)","('ahbap', 188)","('arkadaşlar', 171)","('ne', 161)","('olan', 161)","('allah', 148)","('da', 148)","('edin', 144)","('hala', 138)","('3', 135)","('babalatv', 131)","('aci̇l', 127)","('kadar', 126)","('de', 126)","('daha', 123)","('ama', 122)","('yayalım', 121)","('haber', 114)","('sokak', 104)","('depremdairesi', 101)","('insanlar', 95)","('s', 93)","('ihtiyacı', 90)"
"('afadbaskanlik', 236)","('arkadaşlar', 193)","('da', 190)","('ahbap', 183)","('acil', 179)","('mahallesi', 179)","('ne', 167)","('allah', 162)","('olan', 156)","('de', 155)","('yayalım', 154)","('hala', 141)","('kadar', 133)","('aci̇l', 126)","('babalatv', 119)","('edin', 118)","('daha', 115)","('ama', 113)","('ya', 109)","('depremdairesi', 108)","('haber', 108)","('s', 105)","('insanlar', 99)","('varsa', 95)","('olarak', 94)"
"('arkadaşlar', 199)","('mahallesi', 194)","('afadbaskanlik', 182)","('ahbap', 168)","('acil', 159)","('ne', 159)","('da', 148)","('yayalım', 146)","('babalatv', 133)","('daha', 121)","('allah', 117)","('olan', 116)","('ama', 114)","('de', 112)","('aci̇l', 105)","('kadar', 103)","('hala', 98)","('ile', 91)","('insanlar', 90)","('haber', 86)","('edin', 85)","('depremdairesi', 85)","('apartmanı', 83)","('kahramanmaraş', 83)","('en', 80)"
"('ne', 167)","('da', 145)","('arkadaşlar', 121)","('mahallesi', 120)","('twitter', 118)","('vpn', 113)","('allah', 113)","('afadbaskanlik', 112)","('ahbap', 100)","('olan', 100)","('acil', 97)","('kadar', 96)","('daha', 92)","('de', 89)","('yayalım', 89)","('ile', 84)","('insanlar', 84)","('aci̇l', 81)","('mi', 81)","('en', 81)","('erişim', 76)","('babalatv', 73)","('hala', 71)","('değil', 67)","('sosyal', 67)"
"('ne', 150)","('arkadaşlar', 150)","('da', 130)","('mahallesi', 126)","('afadbaskanlik', 121)","('ahbap', 115)","('allah', 110)","('yayalım', 107)","('kadar', 106)","('olan', 106)","('aci̇l', 101)","('acil', 100)","('de', 97)","('ama', 93)","('en', 92)","('insanlar', 89)","('babalatv', 88)","('yayalim', 85)","('daha', 85)","('twitter', 75)","('ile', 73)","('s', 70)","('vpn', 69)","('ya', 67)","('hala', 65)"
