0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('report', 120)","('team', 99)","('toll', 98)","('time', 87)","('u', 86)","('disaster', 84)","('country', 81)","('hour', 80)","('need', 78)","('area', 74)","('pray', 71)","('relief', 71)","('brother', 70)","('life', 70)","('one', 69)","('please', 65)","('affected', 63)","('victim', 61)","('world', 59)","('support', 58)","('god', 58)","('family', 57)","('rescued', 54)","('india', 54)","('heart', 53)"
"('toll', 141)","('team', 133)","('disaster', 125)","('area', 123)","('relief', 118)","('time', 113)","('report', 107)","('life', 105)","('one', 104)","('u', 101)","('country', 100)","('affected', 97)","('need', 97)","('pray', 96)","('victim', 93)","('hour', 91)","('family', 88)","('please', 87)","('rescued', 84)","('still', 83)","('girl', 82)","('emergency', 81)","('devastating', 80)","('turkish', 79)","('brother', 79)"
"('toll', 174)","('team', 148)","('victim', 123)","('affected', 122)","('life', 119)","('support', 117)","('need', 115)","('time', 114)","('disaster', 112)","('country', 111)","('u', 106)","('area', 105)","('devastating', 101)","('relief', 100)","('family', 98)","('one', 97)","('world', 95)","('hour', 91)","('rescuer', 89)","('please', 86)","('report', 79)","('hit', 78)","('turkish', 78)","('day', 78)","('syrian', 76)"
"('toll', 182)","('team', 163)","('need', 132)","('time', 130)","('country', 129)","('affected', 125)","('disaster', 125)","('area', 120)","('victim', 118)","('please', 116)","('support', 113)","('devastating', 111)","('relief', 109)","('u', 104)","('hour', 103)","('life', 93)","('one', 93)","('hit', 90)","('family', 85)","('donate', 85)","('building', 84)","('injured', 82)","('turkish', 82)","('humanitarian', 82)","('city', 81)"
"('team', 153)","('disaster', 146)","('victim', 134)","('need', 131)","('country', 128)","('affected', 124)","('one', 121)","('support', 118)","('u', 116)","('life', 115)","('area', 111)","('toll', 111)","('hour', 107)","('devastating', 106)","('humanitarian', 106)","('please', 100)","('relief', 97)","('turkish', 96)","('time', 96)","('syrian', 95)","('donate', 87)","('11000', 86)","('family', 84)","('day', 84)","('report', 82)"
"('twitter', 208)","('need', 152)","('please', 148)","('team', 133)","('victim', 128)","('support', 127)","('area', 125)","('affected', 124)","('turkish', 111)","('disaster', 109)","('life', 106)","('country', 104)","('one', 103)","('devastating', 101)","('u', 98)","('toll', 95)","('report', 95)","('government', 95)","('time', 93)","('family', 86)","('thousand', 83)","('relief', 81)","('humanitarian', 81)","('syrian', 78)","('emergency', 77)"
"('need', 147)","('twitter', 144)","('please', 142)","('team', 137)","('country', 129)","('disaster', 128)","('area', 128)","('u', 121)","('affected', 120)","('victim', 117)","('life', 113)","('support', 113)","('devastating', 107)","('one', 104)","('time', 99)","('report', 96)","('relief', 90)","('toll', 89)","('turkish', 86)","('syrian', 85)","('government', 83)","('thousand', 82)","('donate', 81)","('hour', 80)","('effort', 80)"
"('need', 140)","('victim', 131)","('please', 124)","('u', 121)","('affected', 112)","('team', 109)","('country', 105)","('support', 102)","('syrian', 100)","('disaster', 99)","('one', 90)","('area', 88)","('world', 88)","('turkish', 87)","('life', 86)","('day', 86)","('time', 85)","('devastating', 81)","('twitter', 79)","('family', 75)","('report', 72)","('donate', 71)","('humanitarian', 70)","('relief', 70)","('many', 67)"
"('need', 104)","('please', 101)","('victim', 84)","('report', 79)","('u', 77)","('time', 76)","('support', 76)","('disaster', 68)","('turkish', 66)","('country', 65)","('life', 65)","('ago', 63)","('donate', 63)","('one', 62)","('info', 60)","('twitter', 59)","('team', 57)","('world', 55)","('day', 54)","('humanitarian', 53)","('affected', 52)","('toll', 51)","('government', 50)","('magnitude', 50)","('hour', 49)"
"('please', 68)","('u', 56)","('need', 53)","('support', 49)","('twitter', 45)","('use', 45)","('donate', 44)","('safety', 44)","('info', 43)","('data', 42)","('ago', 41)","('strike', 40)","('ml', 40)","('230208', 40)","('dpt', 40)","('emsc', 40)","('purpose', 40)","('powered', 40)","('life', 38)","('victim', 38)","('min', 38)","('turkish', 37)","('report', 36)","('disaster', 34)","('time', 34)"
