0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('lütfen', 463)","('bu', 434)","('bir', 410)","('yardım', 322)","('var', 302)","('için', 261)","('çok', 228)","('haluklevent', 193)","('enkaz', 166)","('oguzhanugur', 154)","('ne', 150)","('arkadaşlar', 150)","('yok', 146)","('deprem', 143)","('altında', 135)","('da', 130)","('olsun', 127)","('mahallesi', 126)","('afadbaskanlik', 121)","('hatay', 117)","('ahbap', 115)","('allah', 110)","('yayalım', 107)","('kadar', 106)","('olan', 106)"
"('lütfen', 563)","('yardım', 394)","('bu', 384)","('bir', 360)","('var', 342)","('için', 323)","('çok', 297)","('haluklevent', 229)","('enkaz', 190)","('oguzhanugur', 188)","('arkadaşlar', 170)","('deprem', 160)","('ahbap', 149)","('babalatv', 148)","('ne', 145)","('afadbaskanlik', 143)","('hatay', 142)","('yardim', 140)","('mahallesi', 129)","('da', 122)","('yok', 119)","('allah', 116)","('altında', 115)","('acil', 115)","('ama', 114)"
"('lütfen', 790)","('yardım', 433)","('oguzhanugur', 359)","('haluklevent', 334)","('ahbap', 321)","('bir', 313)","('babalatv', 303)","('bu', 292)","('daha', 270)","('var', 245)","('fazla', 232)","('çocuk', 227)","('gönderin', 207)","('için', 206)","('konuşmuş', 206)","('yaşıyor', 190)","('mahallesi', 189)","('hatay', 186)","('abisiyle', 183)","('abisi', 181)","('demiş', 181)","('dayanamaz', 180)","('çok', 179)","('enkaz', 170)","('arkadaşlar', 157)"
"('bir', 251)","('lütfen', 247)","('bu', 218)","('yardım', 195)","('var', 183)","('çok', 166)","('enkaz', 136)","('haluklevent', 113)","('için', 109)","('altında', 103)","('ahbap', 100)","('oguzhanugur', 100)","('hatay', 93)","('yok', 92)","('mahallesi', 89)","('afadbaskanlik', 88)","('yardim', 86)","('ne', 77)","('babalatv', 75)","('arkadaşlar', 74)","('da', 74)","('olsun', 70)","('aci̇l', 69)","('de', 69)","('allah', 68)"
"('lütfen', 145)","('bir', 111)","('bu', 107)","('var', 85)","('çok', 79)","('yardım', 70)","('için', 59)","('arkadaşlar', 57)","('deprem', 52)","('aci̇l', 45)","('enkaz', 44)","('hatay', 42)","('haluklevent', 42)","('ne', 40)","('daha', 39)","('yok', 38)","('afadbaskanlik', 38)","('yardim', 35)","('s', 34)","('oguzhanugur', 33)","('olsun', 33)","('rt', 32)","('mahallesi', 32)","('allah', 31)","('altında', 30)"
"('bir', 65)","('bu', 60)","('var', 51)","('lütfen', 49)","('yardım', 42)","('çok', 39)","('için', 36)","('deprem', 28)","('olsun', 26)","('enkaz', 26)","('kadar', 25)","('s', 24)","('yardim', 23)","('ne', 21)","('yok', 21)","('hatay', 19)","('allah', 19)","('insanlar', 18)","('mahallesi', 17)","('altında', 17)","('bile', 17)","('antakya', 16)","('da', 16)","('ama', 15)","('arkadaşlar', 15)"
"('bir', 107)","('bu', 93)","('var', 76)","('yardım', 73)","('lütfen', 72)","('deprem', 52)","('çok', 51)","('yok', 48)","('için', 46)","('enkaz', 43)","('altında', 42)","('da', 39)","('ne', 35)","('olsun', 35)","('haluklevent', 33)","('ama', 31)","('allah', 29)","('de', 27)","('yardim', 25)","('oguzhanugur', 24)","('daha', 24)","('ile', 23)","('mi', 22)","('arkadaşlar', 22)","('hala', 21)"
"('bu', 162)","('bir', 161)","('var', 136)","('yardım', 135)","('lütfen', 121)","('için', 116)","('enkaz', 93)","('deprem', 87)","('çok', 78)","('olsun', 77)","('yok', 71)","('haluklevent', 63)","('de', 61)","('allah', 58)","('da', 54)","('hatay', 51)","('ne', 51)","('kadar', 48)","('altında', 48)","('sonra', 46)","('devlet', 46)","('s', 45)","('oguzhanugur', 44)","('ile', 42)","('ama', 42)"
"('lütfen', 309)","('bir', 305)","('bu', 288)","('yardım', 267)","('var', 235)","('için', 233)","('çok', 176)","('enkaz', 166)","('deprem', 165)","('haluklevent', 144)","('olsun', 123)","('oguzhanugur', 120)","('de', 107)","('yok', 104)","('hatay', 101)","('arkadaşlar', 98)","('da', 97)","('allah', 96)","('acil', 94)","('afadbaskanlik', 89)","('yardim', 88)","('aci̇l', 88)","('ahbap', 87)","('altında', 83)","('ne', 83)"
"('lütfen', 399)","('bir', 380)","('bu', 379)","('var', 285)","('yardım', 269)","('için', 238)","('çok', 221)","('haluklevent', 161)","('enkaz', 147)","('deprem', 135)","('oguzhanugur', 134)","('da', 131)","('yok', 124)","('ne', 122)","('ahbap', 118)","('afadbaskanlik', 117)","('hatay', 114)","('olsun', 113)","('babalatv', 112)","('arkadaşlar', 112)","('olan', 110)","('acil', 109)","('de', 102)","('yardim', 94)","('daha', 93)"
"('bu', 240)","('lütfen', 233)","('bir', 227)","('yardım', 175)","('var', 165)","('için', 162)","('çok', 155)","('deprem', 120)","('haluklevent', 111)","('enkaz', 97)","('oguzhanugur', 95)","('ne', 90)","('olsun', 86)","('ahbap', 85)","('afadbaskanlik', 76)","('hatay', 70)","('yok', 68)","('babalatv', 68)","('de', 67)","('yardim', 67)","('allah', 66)","('aci̇l', 65)","('arkadaşlar', 63)","('acil', 62)","('olan', 62)"
"('lütfen', 316)","('bu', 315)","('bir', 303)","('var', 225)","('yardım', 217)","('için', 187)","('çok', 182)","('deprem', 166)","('haluklevent', 142)","('kadar', 118)","('oguzhanugur', 111)","('da', 109)","('arkadaşlar', 107)","('olsun', 106)","('ne', 105)","('olan', 100)","('enkaz', 100)","('ahbap', 99)","('hatay', 91)","('de', 88)","('acil', 86)","('allah', 76)","('yayalım', 76)","('ama', 75)","('yok', 75)"
"('lütfen', 253)","('bir', 246)","('bu', 238)","('için', 164)","('yardım', 151)","('var', 147)","('çok', 120)","('enkaz', 101)","('ahbap', 93)","('deprem', 92)","('oguzhanugur', 89)","('haluklevent', 86)","('ne', 79)","('de', 74)","('olsun', 70)","('yok', 69)","('arkadaşlar', 69)","('kadar', 65)","('babalatv', 64)","('hatay', 63)","('altında', 62)","('acil', 59)","('da', 59)","('olan', 59)","('daha', 56)"
"('lütfen', 115)","('bir', 107)","('bu', 85)","('var', 71)","('deprem', 66)","('için', 59)","('çok', 59)","('yardım', 58)","('ahbap', 45)","('haluklevent', 45)","('de', 36)","('oguzhanugur', 34)","('da', 32)","('mahallesi', 31)","('enkaz', 29)","('hatay', 29)","('ne', 29)","('yok', 28)","('babalatv', 28)","('s', 25)","('aci̇l', 24)","('olan', 23)","('acil', 22)","('bölgesine', 22)","('arkadaşlar', 21)"
"('bir', 90)","('bu', 67)","('var', 65)","('lütfen', 57)","('deprem', 47)","('çok', 42)","('için', 38)","('ahbap', 31)","('haluklevent', 27)","('olsun', 27)","('kadar', 24)","('oguzhanugur', 23)","('yardım', 23)","('yok', 22)","('de', 21)","('sonra', 20)","('mahallesi', 19)","('da', 19)","('bölgesine', 19)","('acil', 18)","('ne', 18)","('aci̇l', 17)","('yayalım', 17)","('saat', 17)","('arkadaşlar', 17)"
"('bu', 55)","('bir', 54)","('var', 48)","('lütfen', 37)","('çok', 36)","('yardım', 36)","('için', 35)","('teyi̇tli̇', 24)","('haluklevent', 23)","('oguzhanugur', 19)","('olsun', 18)","('ne', 17)","('90', 17)","('s', 17)","('acil', 17)","('yayalim', 15)","('aci̇l', 15)","('çadır', 15)","('gibi', 14)","('bi̇lgi̇', 14)","('deprem', 14)","('ya', 14)","('arkadaşlar', 13)","('olan', 13)","('babalatv', 13)"
"('bu', 54)","('bir', 48)","('var', 43)","('lütfen', 35)","('yardım', 30)","('çok', 26)","('enkaz', 20)","('ne', 19)","('yok', 18)","('allah', 18)","('s', 17)","('kadar', 17)","('için', 17)","('haluklevent', 16)","('aci̇l', 15)","('ki', 14)","('sen', 14)","('olan', 14)","('de', 13)","('hala', 12)","('gibi', 12)","('yardim', 12)","('bunu', 12)","('daha', 12)","('hatay', 11)"
"('bir', 12)","('bu', 9)","('olur', 9)","('için', 8)","('deprem', 8)","('var', 8)","('ne', 6)","('da', 6)","('enkaz', 5)","('yok', 5)","('allah', 5)","('türkiye', 5)","('akparti', 4)","('değil', 4)","('ayakkabı', 4)","('yardım', 4)","('de', 4)","('çok', 4)","('altından', 4)","('aç', 4)","('en', 4)","('olarak', 4)","('dosta', 4)","('öbek', 4)","('1', 3)"
